VoteIntention,Region,Gender,Ethnicity,MaritalStatus,Age,Housing,Qualifications
Conservative,west midlands,male,white,Partner/Single,42,Rent/Other,GCE
NA,north,female,white,Seperated/Divorced,38,Rent/Other,GCSE
NA,south west,female,white,Partner/Single,25,Rent/Other,BA
NA,south east,female,white,Married/Widowed,49,Rent/Other,GCE
Conservative,north west,male,white,Married/Widowed,50,Owns/Outright,BA
Conservative,east anglia,male,white,Married/Widowed,49,Rent/Other,Technical/None/Other
Conservative,north west,female,white,Married/Widowed,60,Owns/Outright,Technical/None/Other
Conservative,west midlands,male,white,Married/Widowed,73,Owns/Mortgage,Technical/None/Other
NA,wales,female,white,Married/Widowed,57,Owns/Outright,Technical/None/Other
NA,south east,female,white,Married/Widowed,53,Owns/Mortgage,BA
Conservative,west midlands,female,white,Married/Widowed,58,Owns/Outright,BA
LiberalDemocrat,yorkshire & humberside,male,white,Married/Widowed,55,Rent/Other,Technical/None/Other
Conservative,scotland,female,white,Married/Widowed,55,Owns/Outright,Technical/None/Other
NA,south east,male,asian or asian british,Married/Widowed,34,Owns/Mortgage,GCE
LiberalDemocrat,yorkshire & humberside,male,white,Partner/Single,32,Rent/Other,BA
Labour,scotland,male,white,Married/Widowed,45,Owns/Mortgage,GCSE
NA,north west,male,white,Married/Widowed,42,Rent/Other,BA
LiberalDemocrat,west midlands,female,white,Married/Widowed,37,Owns/Outright,GCE
NA,west midlands,female,white,Partner/Single,67,Owns/Outright,GCE
Other,east anglia,male,white,Married/Widowed,77,Owns/Outright,Technical/None/Other
NA,west midlands,female,white,Married/Widowed,43,Owns/Mortgage,GCE
Other,north west,male,white,Married/Widowed,30,Owns/Mortgage,BA
NA,scotland,male,white,Married/Widowed,47,Rent/Other,GCSE
Conservative,south east,female,white,Married/Widowed,58,Owns/Outright,BA
Conservative,greater london,male,white,Married/Widowed,60,Owns/Mortgage,BA
Conservative,greater london,female,white,Seperated/Divorced,64,Owns/Outright,Technical/None/Other
Conservative,east midlands,female,white,Married/Widowed,67,Owns/Outright,Technical/None/Other
Labour,east anglia,female,black or black british,Married/Widowed,44,Owns/Mortgage,Technical/None/Other
Labour,north west,male,white,Married/Widowed,56,Owns/Outright,GCE
Conservative,east anglia,male,white,Married/Widowed,40,Owns/Mortgage,Technical/None/Other
NA,yorkshire & humberside,female,white,Married/Widowed,40,Rent/Other,GCE
NA,yorkshire & humberside,male,white,Married/Widowed,51,Owns/Mortgage,Technical/None/Other
Labour,north west,male,white,Partner/Single,41,Rent/Other,GCSE
Conservative,north,female,white,Married/Widowed,44,Owns/Mortgage,GCSE
NA,yorkshire & humberside,female,white,Married/Widowed,50,Owns/Mortgage,BA
NA,south east,female,white,Partner/Single,44,Owns/Mortgage,GCSE
Other,south east,female,white,Married/Widowed,60,Rent/Other,Technical/None/Other
NA,south east,female,white,Married/Widowed,67,Owns/Outright,GCE
Labour,wales,male,white,Seperated/Divorced,50,Rent/Other,Technical/None/Other
LiberalDemocrat,east midlands,female,white,Partner/Single,34,Owns/Mortgage,GCE
Conservative,scotland,male,white,Married/Widowed,57,Owns/Mortgage,GCE
Other,wales,female,white,Married/Widowed,69,Rent/Other,Technical/None/Other
Other,wales,female,white,Married/Widowed,53,Rent/Other,GCSE
LiberalDemocrat,east midlands,male,white,Married/Widowed,32,Owns/Mortgage,Technical/None/Other
Conservative,yorkshire & humberside,female,white,Married/Widowed,64,Owns/Outright,BA
Conservative,north west,female,white,Married/Widowed,49,Owns/Mortgage,GCE
Labour,yorkshire & humberside,male,white,Married/Widowed,63,Owns/Outright,GCE
Other,yorkshire & humberside,male,white,Married/Widowed,55,Owns/Outright,Technical/None/Other
Conservative,south east,male,white,Seperated/Divorced,52,Rent/Other,Technical/None/Other
NA,wales,male,white,Married/Widowed,43,Owns/Outright,Technical/None/Other
LiberalDemocrat,south east,female,white,Married/Widowed,29,Owns/Mortgage,BA
LiberalDemocrat,south east,male,white,Partner/Single,39,Rent/Other,Technical/None/Other
Conservative,wales,female,white,Married/Widowed,44,Owns/Mortgage,GCE
NA,south east,female,white,Partner/Single,30,Owns/Mortgage,BA
LiberalDemocrat,north,male,white,Partner/Single,35,Owns/Mortgage,GCSE
Labour,north west,male,white,Partner/Single,56,Rent/Other,Technical/None/Other
Labour,greater london,male,white,Married/Widowed,58,Rent/Other,Technical/None/Other
NA,west midlands,male,white,Married/Widowed,42,Owns/Mortgage,BA
NA,south east,female,white,Seperated/Divorced,45,Owns/Mortgage,GCSE
NA,west midlands,male,white,Married/Widowed,56,Rent/Other,GCSE
NA,east anglia,female,white,Married/Widowed,59,Rent/Other,Technical/None/Other
NA,north west,male,white,Married/Widowed,43,Owns/Mortgage,Technical/None/Other
Labour,greater london,male,white,Married/Widowed,77,Rent/Other,Technical/None/Other
Labour,south west,male,white,Seperated/Divorced,57,Rent/Other,GCSE
LiberalDemocrat,west midlands,female,white,Married/Widowed,44,Owns/Mortgage,Technical/None/Other
Conservative,west midlands,female,white,Partner/Single,49,Owns/Mortgage,GCE
NA,east anglia,male,white,Partner/Single,42,Rent/Other,Technical/None/Other
LiberalDemocrat,south east,male,white,Married/Widowed,63,Owns/Outright,BA
Conservative,west midlands,female,white,Married/Widowed,69,Owns/Outright,Technical/None/Other
NA,west midlands,female,white,Married/Widowed,54,Owns/Outright,GCE
NA,south east,female,white,Married/Widowed,32,Rent/Other,Technical/None/Other
Labour,east midlands,male,white,Partner/Single,34,Rent/Other,GCSE
Conservative,south west,female,white,Partner/Single,63,Owns/Outright,GCSE
Labour,yorkshire & humberside,female,white,Seperated/Divorced,52,Owns/Mortgage,GCE
NA,north west,female,white,Married/Widowed,49,Owns/Mortgage,Technical/None/Other
NA,north west,female,white,Married/Widowed,57,Owns/Mortgage,GCSE
Conservative,wales,male,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
Labour,east anglia,female,white,Partner/Single,56,Owns/Mortgage,BA
LiberalDemocrat,south west,male,white,Partner/Single,39,Owns/Mortgage,GCE
Conservative,west midlands,male,white,Married/Widowed,65,Owns/Mortgage,BA
Labour,wales,male,white,Married/Widowed,63,Owns/Mortgage,Technical/None/Other
Conservative,greater london,female,white,Married/Widowed,73,Owns/Outright,Technical/None/Other
NA,west midlands,male,asian or asian british,Partner/Single,29,Rent/Other,BA
LiberalDemocrat,wales,male,white,Partner/Single,46,Owns/Mortgage,GCE
Labour,east midlands,female,white,Married/Widowed,56,Owns/Mortgage,Technical/None/Other
Labour,east midlands,male,white,Married/Widowed,50,Owns/Mortgage,GCE
Other,west midlands,male,white,Partner/Single,70,Owns/Outright,Technical/None/Other
Labour,north west,male,white,Seperated/Divorced,40,Owns/Mortgage,Technical/None/Other
NA,south east,male,white,Partner/Single,61,Rent/Other,Technical/None/Other
Conservative,north west,male,white,Married/Widowed,67,Owns/Mortgage,Technical/None/Other
Labour,scotland,male,white,Partner/Single,55,Owns/Mortgage,GCE
Labour,greater london,male,white,Partner/Single,40,Owns/Mortgage,GCE
NA,west midlands,female,white,Married/Widowed,40,Owns/Outright,Technical/None/Other
NA,south east,female,white,Seperated/Divorced,60,Owns/Mortgage,GCSE
LiberalDemocrat,south east,female,white,Partner/Single,55,Rent/Other,Technical/None/Other
NA,east anglia,female,white,Seperated/Divorced,57,Owns/Mortgage,Technical/None/Other
NA,scotland,male,white,Partner/Single,32,Rent/Other,Technical/None/Other
Labour,yorkshire & humberside,male,white,Married/Widowed,53,Owns/Mortgage,GCE
NA,south west,female,white,Married/Widowed,54,Owns/Mortgage,GCSE
LiberalDemocrat,south east,female,white,Partner/Single,26,Owns/Mortgage,GCE
LiberalDemocrat,greater london,male,asian or asian british,Partner/Single,26,Owns/Mortgage,BA
NA,scotland,male,white,Married/Widowed,50,Owns/Mortgage,GCE
LiberalDemocrat,east midlands,female,white,Married/Widowed,27,Owns/Mortgage,BA
Labour,scotland,female,white,Married/Widowed,45,Owns/Mortgage,GCE
Labour,north west,female,white,Seperated/Divorced,63,Rent/Other,Technical/None/Other
LiberalDemocrat,east midlands,male,white,Partner/Single,26,Rent/Other,BA
Labour,south east,female,mixed background,Partner/Single,35,Rent/Other,BA
NA,east midlands,male,white,Married/Widowed,64,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,yorkshire & humberside,male,white,Partner/Single,22,Rent/Other,GCE
NA,south west,male,white,Married/Widowed,64,Owns/Mortgage,Technical/None/Other
NA,yorkshire & humberside,female,white,Married/Widowed,68,Owns/Outright,GCE
NA,south east,male,white,Married/Widowed,56,Rent/Other,Technical/None/Other
Labour,yorkshire & humberside,female,white,Married/Widowed,64,Owns/Mortgage,BA
Conservative,east midlands,female,white,Married/Widowed,69,Owns/Outright,GCSE
NA,greater london,male,white,Married/Widowed,63,Owns/Mortgage,Technical/None/Other
Labour,scotland,male,white,Partner/Single,49,Owns/Mortgage,Technical/None/Other
NA,east anglia,male,white,Married/Widowed,61,Owns/Mortgage,BA
Conservative,east midlands,male,white,Partner/Single,36,Owns/Mortgage,GCE
NA,south east,male,white,Married/Widowed,58,Owns/Mortgage,Technical/None/Other
NA,south west,female,white,Married/Widowed,55,Owns/Outright,GCE
Other,scotland,female,white,Married/Widowed,63,Owns/Mortgage,GCSE
Conservative,east midlands,female,white,Married/Widowed,82,Owns/Outright,Technical/None/Other
Conservative,greater london,male,white,Partner/Single,55,Owns/Mortgage,BA
Conservative,south west,female,white,Married/Widowed,54,Owns/Mortgage,GCE
NA,east anglia,male,white,Partner/Single,34,Rent/Other,Technical/None/Other
Conservative,east midlands,female,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
LiberalDemocrat,west midlands,female,white,Partner/Single,21,Owns/Mortgage,GCE
Labour,east midlands,female,white,Married/Widowed,46,Owns/Outright,Technical/None/Other
NA,north west,male,white,Partner/Single,53,Owns/Mortgage,Technical/None/Other
Labour,yorkshire & humberside,male,white,Partner/Single,50,Owns/Mortgage,Technical/None/Other
Labour,west midlands,male,white,Partner/Single,55,Owns/Outright,BA
NA,north west,female,white,Married/Widowed,26,Owns/Mortgage,BA
Labour,north west,female,white,Seperated/Divorced,40,Owns/Mortgage,Technical/None/Other
Labour,south east,female,white,Married/Widowed,55,Owns/Outright,GCE
Labour,wales,male,white,Married/Widowed,53,Rent/Other,BA
Conservative,south west,male,white,Married/Widowed,45,Owns/Mortgage,GCE
Conservative,north west,male,white,Partner/Single,61,Owns/Outright,GCE
LiberalDemocrat,wales,female,white,Partner/Single,31,Rent/Other,Technical/None/Other
NA,east midlands,female,white,Married/Widowed,53,Owns/Outright,GCE
Other,east midlands,female,white,Married/Widowed,35,Owns/Mortgage,GCE
Conservative,yorkshire & humberside,male,white,Partner/Single,31,Owns/Mortgage,Technical/None/Other
Conservative,east midlands,female,white,Married/Widowed,60,Owns/Outright,Technical/None/Other
Labour,south west,female,white,Married/Widowed,51,Owns/Outright,GCE
Other,west midlands,male,white,Partner/Single,50,Owns/Mortgage,Technical/None/Other
NA,east anglia,female,white,Seperated/Divorced,61,Owns/Outright,GCSE
NA,east midlands,female,white,Married/Widowed,41,Rent/Other,BA
NA,south east,female,white,Married/Widowed,45,Owns/Outright,GCE
Conservative,north west,female,white,Partner/Single,32,Rent/Other,GCE
Conservative,north west,female,white,Partner/Single,30,Rent/Other,BA
NA,south east,male,white,Married/Widowed,40,Owns/Mortgage,GCE
NA,wales,female,white,Married/Widowed,44,Owns/Mortgage,GCSE
NA,greater london,female,white,Married/Widowed,34,Rent/Other,Technical/None/Other
Labour,north,male,asian or asian british,Married/Widowed,43,Rent/Other,GCE
NA,north,female,white,Partner/Single,58,Rent/Other,GCE
NA,south west,male,white,Married/Widowed,66,Owns/Mortgage,Technical/None/Other
NA,east anglia,male,white,Married/Widowed,63,Owns/Mortgage,Technical/None/Other
NA,south east,male,white,Married/Widowed,55,Rent/Other,Technical/None/Other
Labour,scotland,female,white,Partner/Single,44,Owns/Mortgage,BA
NA,north,male,white,Seperated/Divorced,65,Owns/Outright,Technical/None/Other
NA,east midlands,male,white,Seperated/Divorced,63,Owns/Outright,GCE
NA,north west,male,white,Married/Widowed,50,Owns/Mortgage,GCSE
Labour,scotland,female,white,Partner/Single,43,Owns/Outright,BA
NA,wales,male,white,Married/Widowed,67,Owns/Outright,GCSE
NA,scotland,male,white,Married/Widowed,48,Owns/Mortgage,GCE
Labour,north west,female,white,Married/Widowed,53,Owns/Mortgage,GCE
Labour,yorkshire & humberside,female,white,Seperated/Divorced,52,Owns/Mortgage,GCE
NA,wales,female,white,Married/Widowed,60,Owns/Outright,GCSE
LiberalDemocrat,south east,female,white,Married/Widowed,67,Owns/Outright,GCSE
Labour,greater london,male,white,Married/Widowed,46,Owns/Mortgage,Technical/None/Other
NA,south east,female,white,Married/Widowed,46,Owns/Mortgage,Technical/None/Other
NA,south east,male,white,Married/Widowed,30,Owns/Mortgage,BA
Other,wales,female,white,Partner/Single,63,Owns/Mortgage,GCE
NA,south west,female,white,Married/Widowed,56,Owns/Mortgage,GCE
NA,south east,female,white,Partner/Single,33,Owns/Mortgage,BA
NA,north west,female,white,Partner/Single,26,Owns/Mortgage,GCE
NA,scotland,female,white,Married/Widowed,74,Owns/Outright,GCE
Labour,yorkshire & humberside,female,white,Partner/Single,31,Owns/Mortgage,BA
Conservative,greater london,female,white,Married/Widowed,45,Owns/Mortgage,GCE
LiberalDemocrat,scotland,male,white,Married/Widowed,45,Owns/Mortgage,BA
NA,scotland,female,white,Married/Widowed,67,Owns/Outright,Technical/None/Other
NA,south west,male,white,Partner/Single,47,Rent/Other,Technical/None/Other
NA,greater london,male,white,Partner/Single,50,Owns/Outright,GCE
Labour,north west,male,white,Partner/Single,37,Rent/Other,GCE
Labour,yorkshire & humberside,male,white,Married/Widowed,55,Owns/Mortgage,GCSE
Conservative,south east,female,white,Married/Widowed,61,Owns/Mortgage,GCE
LiberalDemocrat,south east,male,white,Married/Widowed,67,Owns/Mortgage,GCSE
Labour,east anglia,female,white,Partner/Single,48,Rent/Other,Technical/None/Other
Labour,south west,female,white,Married/Widowed,61,Owns/Outright,Technical/None/Other
NA,scotland,male,white,Partner/Single,34,Owns/Mortgage,Technical/None/Other
NA,north west,male,white,Partner/Single,23,Owns/Outright,BA
LiberalDemocrat,north west,male,white,Partner/Single,39,Owns/Mortgage,BA
Conservative,yorkshire & humberside,male,white,Married/Widowed,67,Owns/Outright,BA
LiberalDemocrat,wales,male,asian or asian british,Partner/Single,26,Owns/Mortgage,BA
NA,south east,male,white,Seperated/Divorced,44,Owns/Mortgage,GCSE
Other,south east,male,white,Married/Widowed,64,Owns/Outright,Technical/None/Other
Labour,east midlands,female,white,Married/Widowed,41,Owns/Mortgage,BA
NA,south west,female,white,Seperated/Divorced,67,Owns/Outright,GCE
Labour,scotland,male,white,Partner/Single,61,Owns/Outright,BA
Labour,east anglia,male,white,Partner/Single,35,Owns/Outright,Technical/None/Other
NA,south east,female,white,Married/Widowed,61,Owns/Outright,Technical/None/Other
LiberalDemocrat,east anglia,female,asian or asian british,Married/Widowed,64,Owns/Outright,BA
Labour,yorkshire & humberside,female,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
NA,greater london,male,white,Partner/Single,33,Rent/Other,BA
NA,north,female,white,Married/Widowed,46,Owns/Mortgage,Technical/None/Other
Conservative,south east,female,white,Married/Widowed,52,Owns/Mortgage,GCSE
NA,yorkshire & humberside,female,white,Partner/Single,27,Rent/Other,GCSE
NA,east anglia,female,white,Married/Widowed,38,Owns/Mortgage,GCSE
NA,greater london,female,white,Married/Widowed,47,Rent/Other,BA
Conservative,south west,male,white,Married/Widowed,46,Owns/Mortgage,GCSE
Labour,yorkshire & humberside,male,white,Partner/Single,27,Owns/Mortgage,BA
LiberalDemocrat,greater london,female,other ethnic background,Married/Widowed,42,Owns/Outright,GCE
NA,north,female,white,Married/Widowed,50,Owns/Mortgage,GCSE
NA,east midlands,female,white,Partner/Single,26,Rent/Other,GCE
Conservative,north west,female,white,Married/Widowed,53,Rent/Other,GCSE
Other,east midlands,male,white,Seperated/Divorced,51,Rent/Other,GCSE
LiberalDemocrat,scotland,male,white,Married/Widowed,67,Rent/Other,Technical/None/Other
NA,greater london,male,other ethnic background,Married/Widowed,55,Owns/Outright,BA
Conservative,east anglia,female,white,Married/Widowed,55,Owns/Mortgage,GCE
Conservative,west midlands,male,white,Married/Widowed,50,Rent/Other,GCSE
Labour,greater london,male,white,Married/Widowed,59,Owns/Outright,Technical/None/Other
NA,scotland,female,asian or asian british,Married/Widowed,46,Owns/Outright,Technical/None/Other
NA,south east,male,white,Married/Widowed,61,Owns/Mortgage,BA
NA,south west,female,white,Married/Widowed,110,Owns/Outright,BA
NA,east anglia,female,white,Married/Widowed,66,Owns/Mortgage,GCSE
Labour,scotland,male,white,Married/Widowed,63,Owns/Outright,GCSE
Conservative,yorkshire & humberside,female,white,Married/Widowed,54,Owns/Outright,GCE
NA,north,female,white,Seperated/Divorced,48,Owns/Mortgage,GCE
Labour,west midlands,male,white,Married/Widowed,64,Owns/Outright,Technical/None/Other
Other,south east,male,white,Married/Widowed,72,Owns/Outright,GCSE
Labour,yorkshire & humberside,female,white,Seperated/Divorced,49,Rent/Other,GCE
Other,scotland,male,white,Partner/Single,36,Rent/Other,BA
Labour,south west,female,white,Partner/Single,60,Owns/Outright,Technical/None/Other
NA,greater london,female,white,Partner/Single,28,Rent/Other,GCE
LiberalDemocrat,south west,male,white,Married/Widowed,46,Owns/Mortgage,GCE
LiberalDemocrat,yorkshire & humberside,male,white,Married/Widowed,39,Owns/Mortgage,GCE
Other,greater london,female,white,Married/Widowed,61,Rent/Other,Technical/None/Other
Conservative,yorkshire & humberside,female,white,Married/Widowed,58,Owns/Outright,GCE
NA,yorkshire & humberside,male,white,Married/Widowed,46,Owns/Mortgage,Technical/None/Other
Conservative,north west,female,white,Married/Widowed,35,Owns/Mortgage,Technical/None/Other
NA,south east,male,white,Married/Widowed,60,Owns/Outright,Technical/None/Other
Other,scotland,male,white,Married/Widowed,77,Owns/Outright,Technical/None/Other
Labour,wales,male,white,Partner/Single,49,Rent/Other,GCE
NA,scotland,male,white,Married/Widowed,31,Owns/Mortgage,BA
Labour,east anglia,male,white,Married/Widowed,42,Owns/Outright,GCE
NA,wales,female,white,Married/Widowed,60,Owns/Mortgage,Technical/None/Other
Labour,greater london,female,mixed background,Partner/Single,22,Rent/Other,GCE
NA,south east,male,white,Partner/Single,33,Owns/Mortgage,BA
Conservative,greater london,male,white,Married/Widowed,31,Owns/Mortgage,BA
NA,south east,female,white,Married/Widowed,38,Owns/Mortgage,BA
Conservative,south east,female,white,Partner/Single,46,Owns/Mortgage,BA
Conservative,east midlands,female,white,Married/Widowed,29,Owns/Mortgage,GCE
NA,greater london,female,mixed background,Married/Widowed,41,Owns/Mortgage,BA
NA,north west,female,white,Partner/Single,58,Owns/Outright,GCE
NA,scotland,male,white,Seperated/Divorced,37,Rent/Other,GCE
Conservative,south east,male,white,Partner/Single,50,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,south west,female,white,Married/Widowed,42,Owns/Outright,BA
Conservative,east midlands,male,white,Married/Widowed,53,Rent/Other,BA
LiberalDemocrat,scotland,male,white,Partner/Single,26,Rent/Other,BA
Labour,scotland,female,white,Seperated/Divorced,50,Owns/Mortgage,BA
Other,scotland,male,white,Married/Widowed,49,Owns/Mortgage,BA
Labour,south east,male,white,Partner/Single,31,Owns/Mortgage,BA
NA,west midlands,female,white,Partner/Single,37,Rent/Other,GCE
Labour,scotland,female,white,Married/Widowed,43,Rent/Other,GCSE
NA,south east,male,mixed background,Married/Widowed,47,Rent/Other,GCSE
Other,wales,female,white,Married/Widowed,68,Owns/Outright,BA
Labour,south east,female,white,Partner/Single,47,Rent/Other,GCSE
Labour,east midlands,male,white,Partner/Single,51,Rent/Other,BA
Other,west midlands,female,white,Married/Widowed,45,Owns/Mortgage,BA
NA,south west,female,white,Partner/Single,33,Owns/Mortgage,BA
Labour,north,female,white,Married/Widowed,42,Owns/Mortgage,Technical/None/Other
Conservative,south west,male,other ethnic background,Married/Widowed,39,Owns/Mortgage,GCE
Conservative,east midlands,female,white,Married/Widowed,49,Owns/Mortgage,BA
Labour,south east,male,white,Partner/Single,37,Owns/Mortgage,GCE
Other,yorkshire & humberside,male,white,Partner/Single,59,Owns/Mortgage,GCE
LiberalDemocrat,east midlands,female,white,Seperated/Divorced,38,Rent/Other,GCE
Conservative,yorkshire & humberside,female,white,Married/Widowed,38,Owns/Mortgage,GCE
Labour,yorkshire & humberside,female,white,Married/Widowed,33,Owns/Mortgage,BA
NA,east midlands,female,white,Seperated/Divorced,41,Owns/Outright,BA
NA,south west,female,white,Married/Widowed,64,Rent/Other,GCE
NA,scotland,male,white,Married/Widowed,51,Owns/Outright,GCSE
LiberalDemocrat,north west,female,white,Married/Widowed,63,Owns/Outright,GCE
Labour,yorkshire & humberside,female,white,Married/Widowed,68,Owns/Outright,GCSE
Conservative,north west,male,white,Married/Widowed,52,Owns/Outright,BA
Conservative,north west,male,white,Partner/Single,52,Owns/Outright,BA
Conservative,wales,female,white,Married/Widowed,64,Owns/Mortgage,Technical/None/Other
Conservative,wales,male,white,Married/Widowed,74,Owns/Outright,BA
Other,scotland,female,white,Married/Widowed,72,Owns/Outright,BA
NA,scotland,male,white,Partner/Single,46,Owns/Mortgage,BA
Labour,north,male,white,Married/Widowed,37,Owns/Mortgage,GCE
NA,east midlands,female,white,Married/Widowed,77,Owns/Outright,GCE
NA,scotland,male,white,Partner/Single,22,Rent/Other,GCE
Conservative,east midlands,male,white,Married/Widowed,38,Owns/Mortgage,GCSE
Conservative,west midlands,male,white,Married/Widowed,56,Owns/Mortgage,BA
LiberalDemocrat,scotland,female,white,Married/Widowed,44,Owns/Mortgage,GCE
Labour,north west,male,white,Seperated/Divorced,53,Owns/Mortgage,Technical/None/Other
NA,north west,female,white,Married/Widowed,36,Rent/Other,Technical/None/Other
Other,scotland,male,white,Married/Widowed,71,Rent/Other,BA
NA,north west,male,white,Partner/Single,28,Owns/Mortgage,GCSE
NA,greater london,female,white,Married/Widowed,29,Owns/Mortgage,BA
NA,south east,male,white,Partner/Single,35,Rent/Other,GCSE
Conservative,east midlands,male,white,Married/Widowed,64,Owns/Outright,BA
Conservative,wales,male,white,Partner/Single,40,Owns/Mortgage,BA
Conservative,south east,male,white,Married/Widowed,57,Owns/Outright,GCE
NA,yorkshire & humberside,female,white,Married/Widowed,54,Owns/Mortgage,GCE
NA,yorkshire & humberside,female,white,Married/Widowed,66,Owns/Mortgage,Technical/None/Other
Labour,scotland,female,white,Married/Widowed,33,Owns/Mortgage,BA
LiberalDemocrat,scotland,female,white,Married/Widowed,43,Owns/Mortgage,BA
NA,south west,female,white,Seperated/Divorced,58,Owns/Mortgage,Technical/None/Other
NA,greater london,male,white,Married/Widowed,36,Owns/Mortgage,GCE
NA,south east,female,white,Married/Widowed,70,Owns/Mortgage,Technical/None/Other
NA,north west,female,white,Partner/Single,36,Owns/Mortgage,BA
NA,south east,female,white,Seperated/Divorced,52,Owns/Mortgage,Technical/None/Other
NA,south east,male,white,Partner/Single,52,Owns/Mortgage,BA
Conservative,south west,male,white,Married/Widowed,66,Owns/Outright,GCE
NA,south east,male,white,Married/Widowed,57,Owns/Outright,Technical/None/Other
NA,south west,female,white,Married/Widowed,65,Owns/Mortgage,GCE
Labour,east midlands,female,white,Married/Widowed,47,Rent/Other,Technical/None/Other
Labour,scotland,male,white,Partner/Single,27,Rent/Other,GCSE
Labour,scotland,female,white,Married/Widowed,62,Owns/Outright,GCE
Labour,east anglia,female,white,Married/Widowed,55,Rent/Other,Technical/None/Other
Labour,wales,female,white,Married/Widowed,62,Owns/Outright,GCE
Conservative,scotland,male,white,Married/Widowed,44,Owns/Mortgage,GCSE
LiberalDemocrat,north west,female,white,Married/Widowed,36,Owns/Mortgage,BA
